"reporter_desc","Year","variable","value","Source"
"Areas, nes",2010,"Total_Net_Wgt",95421550.908,"Raw Exports"
"Areas, nes",2011,"Total_Net_Wgt",104429819.572,"Raw Exports"
"Areas, nes",2012,"Total_Net_Wgt",65819363.108,"Raw Exports"
"Areas, nes",2013,"Total_Net_Wgt",58646567.664,"Raw Exports"
"Areas, nes",2014,"Total_Net_Wgt",91517209.555,"Raw Exports"
"Areas, nes",2015,"Total_Net_Wgt",73795296.267,"Raw Exports"
"Areas, nes",2016,"Total_Net_Wgt",75505507.465,"Raw Exports"
"Areas, nes",2017,"Total_Net_Wgt",73945512.699,"Raw Exports"
"Areas, nes",2018,"Total_Net_Wgt",117047608.773,"Raw Exports"
"Areas, nes",2019,"Total_Net_Wgt",197376750.501,"Raw Exports"
"Areas, nes",2020,"Total_Net_Wgt",44866244.642,"Raw Exports"
"Areas, nes",2021,"Total_Net_Wgt",50046192.832,"Raw Exports"
"Areas, nes",2024,"Total_Net_Wgt",4585666.886,"Raw Exports"
"Areas, nes",2025,"Total_Net_Wgt",2631330.923,"Raw Exports"
"Australia",2011,"Total_Net_Wgt",9368798.8,"Raw Exports"
"Australia",2012,"Total_Net_Wgt",8510289.88,"Raw Exports"
"Australia",2013,"Total_Net_Wgt",9061239.68,"Raw Exports"
"Australia",2014,"Total_Net_Wgt",10521748.62,"Raw Exports"
"Australia",2015,"Total_Net_Wgt",10934851.88,"Raw Exports"
"Australia",2016,"Total_Net_Wgt",10389454.69,"Raw Exports"
"Australia",2017,"Total_Net_Wgt",10339961.21,"Raw Exports"
"Australia",2018,"Total_Net_Wgt",10505594.001,"Raw Exports"
"Australia",2019,"Total_Net_Wgt",10892036.35,"Raw Exports"
"Australia",2020,"Total_Net_Wgt",10622410.22,"Raw Exports"
"Australia",2021,"Total_Net_Wgt",9178834.19,"Raw Exports"
"Australia",2022,"Total_Net_Wgt",9514175.57,"Raw Exports"
"Australia",2023,"Total_Net_Wgt",9866536.44,"Raw Exports"
"Australia",2024,"Total_Net_Wgt",9849311.17,"Raw Exports"
"Australia",2025,"Total_Net_Wgt",11415073.25,"Raw Exports"
"Brazil",2000,"Total_Net_Wgt",12513084,"Raw Exports"
"Brazil",2001,"Total_Net_Wgt",14025643,"Raw Exports"
"Brazil",2002,"Total_Net_Wgt",10894855,"Raw Exports"
"Brazil",2003,"Total_Net_Wgt",6697706,"Raw Exports"
"Brazil",2004,"Total_Net_Wgt",7951190,"Raw Exports"
"Brazil",2005,"Total_Net_Wgt",8069344,"Raw Exports"
"Brazil",2006,"Total_Net_Wgt",5632054,"Raw Exports"
"Brazil",2007,"Total_Net_Wgt",4746545,"Raw Exports"
"Brazil",2009,"Total_Net_Wgt",2760193,"Raw Exports"
"Brazil",2010,"Total_Net_Wgt",4360260,"Raw Exports"
"Brazil",2011,"Total_Net_Wgt",10992333,"Raw Exports"
"Brazil",2012,"Total_Net_Wgt",16486960,"Raw Exports"
"Brazil",2013,"Total_Net_Wgt",10031338,"Raw Exports"
"Brazil",2014,"Total_Net_Wgt",6367342,"Raw Exports"
"Brazil",2015,"Total_Net_Wgt",8725531,"Raw Exports"
"Brazil",2016,"Total_Net_Wgt",8408983,"Raw Exports"
"Brazil",2017,"Total_Net_Wgt",8904929,"Raw Exports"
"Brazil",2018,"Total_Net_Wgt",7292887,"Raw Exports"
"Brazil",2019,"Total_Net_Wgt",7878819,"Raw Exports"
"Brazil",2020,"Total_Net_Wgt",7555341,"Raw Exports"
"Brazil",2021,"Total_Net_Wgt",4177609,"Raw Exports"
"Brazil",2022,"Total_Net_Wgt",3735826,"Raw Exports"
"Brazil",2023,"Total_Net_Wgt",4198721,"Raw Exports"
"Brazil",2025,"Total_Net_Wgt",2173499,"Raw Exports"
"Cabo Verde",2010,"Total_Net_Wgt",9640352,"Raw Exports"
"Cabo Verde",2011,"Total_Net_Wgt",13636965,"Raw Exports"
"Cabo Verde",2012,"Total_Net_Wgt",8443147,"Raw Exports"
"Cabo Verde",2013,"Total_Net_Wgt",12280964,"Raw Exports"
"Cabo Verde",2014,"Total_Net_Wgt",13794712,"Raw Exports"
"Cabo Verde",2015,"Total_Net_Wgt",15215071,"Raw Exports"
"Cabo Verde",2019,"Total_Net_Wgt",2216000,"Raw Exports"
"Cameroon",2012,"Total_Net_Wgt",1966220,"Raw Exports"
"Canada",2010,"Total_Net_Wgt",6137599,"Raw Exports"
"Canada",2011,"Total_Net_Wgt",5712055,"Raw Exports"
"Canada",2012,"Total_Net_Wgt",3113945,"Raw Exports"
"Canada",2013,"Total_Net_Wgt",4627756,"Raw Exports"
"Canada",2014,"Total_Net_Wgt",3708907,"Raw Exports"
