"reporter_desc","Year","variable","value","Source"
"Australia",2014,"Total_Net_Wgt",2410916.35,"Tinned Exports"
"Austria",2022,"Total_Net_Wgt",8671851.072,"Tinned Exports"
"Belgium",2015,"Total_Net_Wgt",1491602.41,"Tinned Exports"
"Belgium",2023,"Total_Net_Wgt",2412279.86,"Tinned Exports"
"Belgium",2025,"Total_Net_Wgt",1248849.19,"Tinned Exports"
"Brazil",2003,"Total_Net_Wgt",2740110,"Tinned Exports"
"Brazil",2005,"Total_Net_Wgt",4031433,"Tinned Exports"
"Brazil",2006,"Total_Net_Wgt",4002104,"Tinned Exports"
"Brazil",2007,"Total_Net_Wgt",5959433,"Tinned Exports"
"Brazil",2008,"Total_Net_Wgt",4820836,"Tinned Exports"
"Brazil",2009,"Total_Net_Wgt",5112091,"Tinned Exports"
"Brazil",2010,"Total_Net_Wgt",2811622,"Tinned Exports"
"Brazil",2011,"Total_Net_Wgt",2760482,"Tinned Exports"
"Brazil",2015,"Total_Net_Wgt",1934508,"Tinned Exports"
"Brazil",2017,"Total_Net_Wgt",1579602,"Tinned Exports"
"Brazil",2021,"Total_Net_Wgt",2598211.234,"Tinned Exports"
"Brazil",2022,"Total_Net_Wgt",4502868.115,"Tinned Exports"
"Brazil",2023,"Total_Net_Wgt",4680075.654,"Tinned Exports"
"Brazil",2024,"Total_Net_Wgt",5451647.297,"Tinned Exports"
"Brazil",2025,"Total_Net_Wgt",5605610.125,"Tinned Exports"
"Canada",2012,"Total_Net_Wgt",3826639,"Tinned Exports"
"Canada",2016,"Total_Net_Wgt",2519654,"Tinned Exports"
"China",2010,"Total_Net_Wgt",37138291,"Tinned Exports"
"China",2011,"Total_Net_Wgt",52417257,"Tinned Exports"
"China",2012,"Total_Net_Wgt",39193508,"Tinned Exports"
"China",2016,"Total_Net_Wgt",78375144.879,"Tinned Exports"
"China",2017,"Total_Net_Wgt",77772806.364,"Tinned Exports"
"China",2018,"Total_Net_Wgt",106177224.342,"Tinned Exports"
"China",2019,"Total_Net_Wgt",123604457,"Tinned Exports"
"China",2020,"Total_Net_Wgt",136383965,"Tinned Exports"
"China",2021,"Total_Net_Wgt",135473079,"Tinned Exports"
"China",2022,"Total_Net_Wgt",130544100,"Tinned Exports"
"China",2023,"Total_Net_Wgt",139617960,"Tinned Exports"
"China",2024,"Total_Net_Wgt",207697919.307,"Tinned Exports"
"Colombia",2014,"Total_Net_Wgt",6874519.54,"Tinned Exports"
"Colombia",2016,"Total_Net_Wgt",3209665.67,"Tinned Exports"
"Colombia",2018,"Total_Net_Wgt",2299284.8,"Tinned Exports"
"Colombia",2020,"Total_Net_Wgt",4931095.34,"Tinned Exports"
"Colombia",2021,"Total_Net_Wgt",3710827.51,"Tinned Exports"
"Colombia",2022,"Total_Net_Wgt",3339947.18,"Tinned Exports"
"Colombia",2023,"Total_Net_Wgt",3329481.05,"Tinned Exports"
"Colombia",2025,"Total_Net_Wgt",2220803.05,"Tinned Exports"
"Croatia",2015,"Total_Net_Wgt",15270640,"Tinned Exports"
"Czechia",2015,"Total_Net_Wgt",2499836,"Tinned Exports"
"Czechia",2016,"Total_Net_Wgt",1675307,"Tinned Exports"
