"reporter_desc","Year","variable","value","Source"
"Algeria",2010,"Total_Net_Wgt",7803377,"Tinned Imports"
"Algeria",2011,"Total_Net_Wgt",6305922,"Tinned Imports"
"Algeria",2012,"Total_Net_Wgt",5693782,"Tinned Imports"
"Algeria",2013,"Total_Net_Wgt",8083236,"Tinned Imports"
"Algeria",2014,"Total_Net_Wgt",6740870.382,"Tinned Imports"
"Algeria",2015,"Total_Net_Wgt",7182002.07,"Tinned Imports"
"Algeria",2016,"Total_Net_Wgt",7855333,"Tinned Imports"
"Angola",2015,"Total_Net_Wgt",22940279.7,"Tinned Imports"
"Angola",2016,"Total_Net_Wgt",17102644,"Tinned Imports"
"Angola",2018,"Total_Net_Wgt",10715029.95,"Tinned Imports"
"Areas, nes",2018,"Total_Net_Wgt",3450725.249,"Tinned Imports"
"Argentina",2010,"Total_Net_Wgt",11012958.02,"Tinned Imports"
"Argentina",2011,"Total_Net_Wgt",13946306.93,"Tinned Imports"
"Argentina",2012,"Total_Net_Wgt",14064482.85,"Tinned Imports"
"Argentina",2013,"Total_Net_Wgt",13043203.88,"Tinned Imports"
"Argentina",2014,"Total_Net_Wgt",10943223.85,"Tinned Imports"
"Argentina",2015,"Total_Net_Wgt",15278553.75,"Tinned Imports"
"Argentina",2016,"Total_Net_Wgt",15447464.92,"Tinned Imports"
"Argentina",2017,"Total_Net_Wgt",16535784.82,"Tinned Imports"
"Argentina",2018,"Total_Net_Wgt",18152750.88,"Tinned Imports"
"Argentina",2019,"Total_Net_Wgt",12315738.56,"Tinned Imports"
"Argentina",2020,"Total_Net_Wgt",13275891.89,"Tinned Imports"
"Argentina",2021,"Total_Net_Wgt",17371385.94,"Tinned Imports"
"Argentina",2022,"Total_Net_Wgt",18781173.14,"Tinned Imports"
"Argentina",2023,"Total_Net_Wgt",16787509.3,"Tinned Imports"
"Argentina",2024,"Total_Net_Wgt",17416507.52,"Tinned Imports"
"Argentina",2025,"Total_Net_Wgt",16856316.54,"Tinned Imports"
"Australia",2010,"Total_Net_Wgt",10086560.002,"Tinned Imports"
"Australia",2011,"Total_Net_Wgt",43823668.08,"Tinned Imports"
"Australia",2012,"Total_Net_Wgt",45131342.594,"Tinned Imports"
"Australia",2013,"Total_Net_Wgt",47036472.314,"Tinned Imports"
"Australia",2014,"Total_Net_Wgt",48228801.545,"Tinned Imports"
"Australia",2015,"Total_Net_Wgt",47427401.202,"Tinned Imports"
"Australia",2016,"Total_Net_Wgt",45201397.731,"Tinned Imports"
"Australia",2017,"Total_Net_Wgt",45621785.45,"Tinned Imports"
"Australia",2018,"Total_Net_Wgt",47119037.06,"Tinned Imports"
"Australia",2019,"Total_Net_Wgt",44130903.68,"Tinned Imports"
"Australia",2020,"Total_Net_Wgt",42613647.48,"Tinned Imports"
"Australia",2021,"Total_Net_Wgt",39237307.867,"Tinned Imports"
"Australia",2022,"Total_Net_Wgt",49184165.86,"Tinned Imports"
"Australia",2023,"Total_Net_Wgt",39286599.76,"Tinned Imports"
"Australia",2024,"Total_Net_Wgt",47754260.25,"Tinned Imports"
"Australia",2025,"Total_Net_Wgt",40705489.79,"Tinned Imports"
"Austria",2010,"Total_Net_Wgt",7818600,"Tinned Imports"
"Austria",2011,"Total_Net_Wgt",10250300,"Tinned Imports"
"Austria",2012,"Total_Net_Wgt",9765300,"Tinned Imports"
"Austria",2013,"Total_Net_Wgt",8284100,"Tinned Imports"
"Austria",2014,"Total_Net_Wgt",5950100,"Tinned Imports"
"Austria",2015,"Total_Net_Wgt",7132162,"Tinned Imports"
"Austria",2016,"Total_Net_Wgt",7405216,"Tinned Imports"
"Austria",2017,"Total_Net_Wgt",5386879,"Tinned Imports"
"Austria",2022,"Total_Net_Wgt",10383625.282,"Tinned Imports"
"Belgium",2010,"Total_Net_Wgt",13344465.47,"Tinned Imports"
"Belgium",2011,"Total_Net_Wgt",15542088.4,"Tinned Imports"
"Belgium",2012,"Total_Net_Wgt",14816540.43,"Tinned Imports"
"Belgium",2013,"Total_Net_Wgt",14359289.86,"Tinned Imports"
"Belgium",2014,"Total_Net_Wgt",16306765.4,"Tinned Imports"
"Belgium",2015,"Total_Net_Wgt",13246701.87,"Tinned Imports"
"Belgium",2016,"Total_Net_Wgt",13480032.76,"Tinned Imports"
"Belgium",2017,"Total_Net_Wgt",16460097.56,"Tinned Imports"
"Belgium",2018,"Total_Net_Wgt",17523825.82,"Tinned Imports"
"Belgium",2019,"Total_Net_Wgt",13433402.647,"Tinned Imports"
"Belgium",2020,"Total_Net_Wgt",13353766.27,"Tinned Imports"
"Belgium",2021,"Total_Net_Wgt",13289686.37,"Tinned Imports"
"Belgium",2022,"Total_Net_Wgt",14188741.95,"Tinned Imports"
"Belgium",2023,"Total_Net_Wgt",13296447.83,"Tinned Imports"
"Belgium",2024,"Total_Net_Wgt",12632526.608,"Tinned Imports"
"Belgium",2025,"Total_Net_Wgt",11458086.906,"Tinned Imports"
"Brazil",2013,"Total_Net_Wgt",4678984,"Tinned Imports"
"Brazil",2014,"Total_Net_Wgt",8744314,"Tinned Imports"
"Brazil",2015,"Total_Net_Wgt",8198761,"Tinned Imports"
"Brazil",2016,"Total_Net_Wgt",6864827,"Tinned Imports"
"Brazil",2018,"Total_Net_Wgt",4329607,"Tinned Imports"
"Canada",2010,"Total_Net_Wgt",34634587,"Tinned Imports"
"Canada",2011,"Total_Net_Wgt",31019154,"Tinned Imports"
"Canada",2012,"Total_Net_Wgt",30343118,"Tinned Imports"
"Canada",2013,"Total_Net_Wgt",35366358,"Tinned Imports"
"Canada",2014,"Total_Net_Wgt",33552974,"Tinned Imports"
"Canada",2015,"Total_Net_Wgt",36296011,"Tinned Imports"
"Canada",2016,"Total_Net_Wgt",26434699,"Tinned Imports"
"Canada",2017,"Total_Net_Wgt",29578344,"Tinned Imports"
"Canada",2018,"Total_Net_Wgt",27587160,"Tinned Imports"
"Canada",2019,"Total_Net_Wgt",29346190,"Tinned Imports"
"Canada",2020,"Total_Net_Wgt",36559436.402,"Tinned Imports"
"Canada",2021,"Total_Net_Wgt",31018121.025,"Tinned Imports"
"Canada",2022,"Total_Net_Wgt",37390128.254,"Tinned Imports"
"Canada",2023,"Total_Net_Wgt",31157493.789,"Tinned Imports"
"Canada",2024,"Total_Net_Wgt",37397050.819,"Tinned Imports"
"Canada",2025,"Total_Net_Wgt",28211808.372,"Tinned Imports"
"Chile",2004,"Total_Net_Wgt",7275331.146,"Tinned Imports"
"Chile",2005,"Total_Net_Wgt",7649241.729,"Tinned Imports"
"Chile",2006,"Total_Net_Wgt",8451534.726,"Tinned Imports"
"Chile",2007,"Total_Net_Wgt",7808316.853,"Tinned Imports"
"Chile",2008,"Total_Net_Wgt",8507140.627,"Tinned Imports"
"Chile",2009,"Total_Net_Wgt",7042005.056,"Tinned Imports"
"Chile",2010,"Total_Net_Wgt",10750642.608,"Tinned Imports"
"Chile",2011,"Total_Net_Wgt",12419234.46,"Tinned Imports"
"Chile",2012,"Total_Net_Wgt",10827761.106,"Tinned Imports"
"Chile",2013,"Total_Net_Wgt",16354618.93,"Tinned Imports"
"Chile",2014,"Total_Net_Wgt",16917782.342,"Tinned Imports"
"Chile",2015,"Total_Net_Wgt",19274887.405,"Tinned Imports"
"Chile",2016,"Total_Net_Wgt",15445772.487,"Tinned Imports"
"Chile",2017,"Total_Net_Wgt",21947004.067,"Tinned Imports"
"Chile",2018,"Total_Net_Wgt",22338270.936,"Tinned Imports"
"Chile",2019,"Total_Net_Wgt",23893590.76,"Tinned Imports"
"Chile",2020,"Total_Net_Wgt",29519908.42,"Tinned Imports"
"Chile",2021,"Total_Net_Wgt",24664482.848,"Tinned Imports"
"Chile",2022,"Total_Net_Wgt",28181400.7,"Tinned Imports"
"Chile",2023,"Total_Net_Wgt",26486972.111,"Tinned Imports"
"Chile",2024,"Total_Net_Wgt",33951945.433,"Tinned Imports"
"Chile",2025,"Total_Net_Wgt",33359772.443,"Tinned Imports"
