Sum of value,Column Labels,,,,,
Row Labels,Catch_by_EEZ,Catch_by_Fleet,Fleet_catch_in_highseas_non_FFA_Member,Fleet_catch_in_national_waters_of_FFA_members,Fleet_catch_in_own_national_waters,Other_Country_Catch_in_National_Waters
1997,1680601,1494910,320837,491950,724973,998478
1998,2063779,1827688,385234,633719,835650,1255044
1999,1844487,1610285,313773,524047,789430,1072022
2000,1972857,1779077,284056,660204,842692,1138040
2001,1884810,1705575,310209,652712,757476,1142156
2002,2071805,1879022,360308,753830,784128,1306921
2003,2103934,1958893,383842,677328,910066,1206211
2004,2281164,2160581,454061,660617,1058158,1235261
2005,2242720,2101444,457694,759666,895648,1358636
2006,2303442,2176874,356143,853963,982503,1336674
2007,2528932,2365410,391830,877448,1107709,1432800
2008,2578743,2258270,179829,988938,1097558,1489240
2009,2630465,2266696,196917,1044968,1034828,1605654
2010,2527171,2199000,-24465,1300035,930316,1603741
2011,2363500,2043624,-49284,1205276,894886,1475868
2012,2678143,2308125,-61324,1361200,1021640,1669894
2013,2727595,2362564,-68184,1334921,1107226,1631768
2014,2903902,2478822,-86931,1471805,1107684,1809954
2015,2660082,2329731,128435,1176586,1033530,1635372
2016,2717092,2463655,76085,1208598,1190633,1538120
2017,2588837,2363104,110043,1033833,1232564,1369609
2018,2817013,2549286,101573,1148582,1309604,1517882
2019,2973295,2727714,246657,1205567,1285174,1697805
2020,2729204,2526785,228703,971830,1339403,1402952
2021,2669053,2547456,285831,955366,1319241,1362794
2022,2661457,2524757,186774,1025058,1326973,1348532
2023,2630345,2478443,285078,886161,1315300,1323141
Grand Total,65834428,59487791,5753724,25864208,28234993,37964569
