"Cleaned_Measure","reporter_desc","partner_desc","Total_Net_Wgt"
"Import","Andorra","Spain",228269.45
"Import","Angola","Thailand",2922240.4
"Import","Angola","Portugal",1817765.6
"Import","Angola","Lebanon",46220.6
"Import","Antigua and Barbuda","USA",92460.94
"Import","Antigua and Barbuda","Italy",705.351
"Import","Azerbaijan","Iran",479089.1
"Import","Argentina","Thailand",2481460.2
"Import","Argentina","Brazil",1630608.4
"Import","Argentina","Ecuador",14630058
"Import","Australia","Philippines",281917.9
"Import","Australia","Sri Lanka",2098.95
"Import","Australia","United Arab Emirates",5335.12
"Import","Australia","Spain",32590.92
"Import","Australia","USA",54119.01
"Import","Australia","Italy",137293.6
"Import","Australia","Viet Nam",715954.6
"Import","Australia","Indonesia",5717021
"Import","Australia","Rep. of Korea",58279.8
"Import","Australia","Thailand",41760814.86
"Import","Australia","China",300892.56
"Export","Australia","New Zealand",111813.01
"Import","Australia","Japan",4315.53
"Import","Australia","Fiji",11593.36
"Export","Australia","Papua New Guinea",7732.98
"Export","Australia","Singapore",20896.74
"Import","Austria","Netherlands",3497467
"Export","Austria","Slovakia",504914
"Export","Austria","Bulgaria",242540.018
"Export","Austria","Kyrgyzstan",76
"Import","Austria","France",26611
"Export","Austria","Slovenia",379796
"Import","Austria","Slovakia",48822
"Import","Austria","Indonesia",286
"Import","Austria","Spain",466899
"Import","Austria","Italy",1850893
"Export","Austria","Latvia",59139
"Export","Austria","Romania",1773334
"Export","Austria","Czechia",425309
"Export","Austria","Switzerland",156779
"Import","Austria","United Kingdom",25092
"Import","Austria","Ecuador",29730
"Import","Austria","Switzerland",9.282
"Export","Austria","Croatia",280430
"Export","Austria","Greece",114
"Import","Austria","Papua New Guinea",102192
"Export","Austria","Lithuania",169117
"Export","Austria","Italy",589446
"Import","Austria","Thailand",11012
"Export","Austria","Poland",1264946.054
"Import","Austria","Czechia",530
"Export","Austria","France",8272
"Export","Austria","Cyprus",215
"Export","Austria","Germany",1646619
"Import","Austria","Poland",9215
"Export","Austria","Hungary",1006457
"Export","Austria","Türkiye",25775
"Import","Austria","Germany",2793425
"Import","Bahrain","Philippines",74283
"Import","Bahrain","Indonesia",61920.75
"Import","Bahrain","Ghana",698.552
"Import","Bahrain","Jordan",142.457
"Import","Bahrain","France",639.22
"Import","Bahrain","Saudi Arabia",1240.639
"Export","Bahrain","Saudi Arabia",1240.639
"Import","Bahrain","Portugal",1109.967
"Import","Bahrain","Seychelles",370.28
"Import","Bahrain","Italy",24958.44
"Import","Bahrain","Mauritius",175.555
"Import","Bahrain","Latvia",63
"Export","Bahrain","Jordan",142.457
"Import","Bahrain","Morocco",1127.23
"Import","Bahrain","Areas, nes",64310.24
"Import","Bahrain","Thailand",463507.5
"Import","Bahrain","Ecuador",17.76
"Export","Bahrain","Areas, nes",65110.24
"Import","Bahrain","Niger",60.204
"Export","Bahrain","Niger",60.204
"Import","Armenia","Spain",23508.1
"Import","Barbados","Italy",49118
"Import","Barbados","Trinidad and Tobago",2125
"Import","Barbados","Canada",353013
"Import","Barbados","Cyprus",38000
"Import","Barbados","United Kingdom",329394
"Import","Barbados","USA",1467463
"Import","Barbados","Thailand",1105609
"Export","Belgium","Poland",97.7
"Export","Belgium","Ireland",304.63
"Export","Belgium","Italy",7221.46
"Import","Belgium","Italy",774699.9
"Import","Belgium","Spain",2648550.4
"Export","Belgium","Gambia",552.48
"Import","Belgium","Morocco",34929.6
"Import","Belgium","Portugal",68650.8
"Export","Belgium","Luxembourg",509946.03
"Import","Belgium","France",746148.27
"Import","Belgium","Ecuador",2361225.43
"Export","Belgium","Rwanda",20786.16
"Import","Belgium","Germany",3758503.78
"Import","Belgium","Philippines",158463.86
"Export","Belgium","United Kingdom",8220.03
"Import","Belgium","Papua New Guinea",223827.7
"Import","Belgium","Netherlands",2919701.12
"Export","Belgium","Burundi",4603.2
"Export","Belgium","France",322778.35
"Export","Belgium","Canada",42.78
"Export","Belgium","Norway",14.24
"Export","Belgium","Romania",34243.49
"Export","Belgium","Sweden",28.41
"Export","Belgium","Netherlands",240269.26
"Export","Belgium","Switzerland",75.36
"Import","Belgium","Thailand",30309.77
"Import","Belgium","Greece",25498.59
"Export","Belgium","French Polynesia",574.56
"Export","Belgium","Denmark",1179.9
"Export","Belgium","Germany",62536.78
"Export","Belgium","Dem. Rep. of the Congo",28283.09
"Import","Bermuda","USA",84465.07
"Import","Bermuda","Mauritius",51
"Import","Bermuda","United Kingdom",5170.56
"Import","Bolivia (Plurinational State of)","Ecuador",226632.123
"Import","Bolivia (Plurinational State of)","Colombia",373313.021
"Import","Bosnia Herzegovina","Viet Nam",74064
"Import","Bosnia Herzegovina","Mauritius",192
"Import","Bosnia Herzegovina","Thailand",1867352.58
"Import","Bosnia Herzegovina","Croatia",48756.44
"Import","Bosnia Herzegovina","Spain",95294.12
"Import","Bosnia Herzegovina","Italy",364321.9
"Import","Bosnia Herzegovina","Indonesia",172043.52
"Export","Botswana","Namibia",80
"Import","Botswana","South Africa",156349.85
"Export","Brazil","Portugal",395
"Export","Brazil","Bermuda",29
"Export","Brazil","Panama",3403
"Export","Brazil","Italy",67
"Export","Brazil","Türkiye",69
